"filename", "language", "Markdown", "Oracle-SQL and PLSQL", "comment", "blank", "total"
"e:\data_dapin_program\FTP\BODY\FTP.plsql", "Oracle-SQL and PLSQL", 0, 550, 169, 138, 857
"e:\data_dapin_program\FTP\SPECIFICATIONS\FTP.plsql", "Oracle-SQL and PLSQL", 0, 113, 24, 30, 167
"e:\data_dapin_program\PKG_ITEM_COUNT_BILI\BODY\PKG_ITEM_COUNT_BILI.plsql", "Oracle-SQL and PLSQL", 0, 51, 14, 13, 78
"e:\data_dapin_program\PKG_ITEM_COUNT_BILI\SPECIFICATIONS\PKG_ITEM_COUNT_BILI.plsql", "Oracle-SQL and PLSQL", 0, 4, 3, 4, 11
"e:\data_dapin_program\PKG_ITEM_COUNT_FAC\BODY\PKG_ITEM_COUNT_FAC.sql", "Oracle-SQL and PLSQL", 0, 1120, 77, 22, 1219
"e:\data_dapin_program\PKG_ITEM_COUNT_FAC\SPECIFICATIONS\PKG_ITEM_COUNT_FAC.sql", "Oracle-SQL and PLSQL", 0, 11, 4, 4, 19
"e:\data_dapin_program\PKG_ITEM_COUNT_TOOL\BODY\PKG_ITEM_COUNT_TOOL.plsql", "Oracle-SQL and PLSQL", 0, 388, 63, 85, 536
"e:\data_dapin_program\PKG_ITEM_COUNT_TOOL\SPECIFICATIONS\PKG_ITEM_COUNT_TOOL.plsql", "Oracle-SQL and PLSQL", 0, 27, 3, 4, 34
"e:\data_dapin_program\PKG_ITEM_COUNT_ZCFZ\BODY\PKG_ITEM_COUNT_ZCFZ.plsql", "Oracle-SQL and PLSQL", 0, 674, 70, 44, 788
"e:\data_dapin_program\PKG_ITEM_COUNT_ZCFZ\SPECIFICATIONS\PKG_ITEM_COUNT_ZCFZ.plsql", "Oracle-SQL and PLSQL", 0, 18, 3, 4, 25
"e:\data_dapin_program\PROCESS.sql", "Oracle-SQL and PLSQL", 0, 28, 22, 13, 63
"e:\data_dapin_program\README.md", "Markdown", 2, 0, 0, 1, 3
"Total", "-", 2, 2984, 452, 362, 3800
