"filename", "language", "Markdown", "Oracle-SQL and PLSQL", "comment", "blank", "total"
"d:\data_dapin_program\PKG_ITEM_COUNT_FAC\SPECIFICATIONS\PKG_ITEM_COUNT_FAC.sql", "Oracle-SQL and PLSQL", 0, 6, 3, 3, 12
"d:\data_dapin_program\PKG_ITEM_COUNT_PROCESS\BODY\PKG_ITEM_COUNT_PROCESS.plsql", "Oracle-SQL and PLSQL", 0, 194, 296, 4, 494
"d:\data_dapin_program\PKG_ITEM_COUNT_PROCESS\SPECIFICATIONS\PKG_ITEM_COUNT_PROCESS.plsql", "Oracle-SQL and PLSQL", 0, 8, 3, 4, 15
"d:\data_dapin_program\PKG_ITEM_COUNT_TOOL\BODY\PKG_ITEM_COUNT_TOOL.plsql", "Oracle-SQL and PLSQL", 0, 388, 63, 85, 536
"d:\data_dapin_program\PKG_ITEM_COUNT_TOOL\SPECIFICATIONS\PKG_ITEM_COUNT_TOOL.plsql", "Oracle-SQL and PLSQL", 0, 27, 3, 4, 34
"d:\data_dapin_program\PKG_ITEM_COUNT_ZCFZ\BODY\PKG_ITEM_COUNT_ZCFZ.plsql", "Oracle-SQL and PLSQL", 0, 674, 70, 44, 788
"d:\data_dapin_program\PKG_ITEM_COUNT_ZCFZ\SPECIFICATIONS\PKG_ITEM_COUNT_ZCFZ.plsql", "Oracle-SQL and PLSQL", 0, 18, 3, 4, 25
"d:\data_dapin_program\PROCESS.sql", "Oracle-SQL and PLSQL", 0, 14, 19, 8, 41
"d:\data_dapin_program\README.md", "Markdown", 1, 0, 0, 1, 2
"Total", "-", 1, 13024, 2087, 737, 15849
